NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00053,0110,11,CSL BEHRING L.L.C.,Active,HEMGENIX (51-55kg Kit),02,0125772,S,1,N,11/22/2022,06/01/2026,EA,1,NR,Y,,06/01/2026,,,07/29/2026
00054,0821,58,HIKMA PHARMACEUTICALS USA INC.,Active,TOFACITINIB 1 MG/ML SOLUTION,01,0216878,N,1,N,09/25/2023,06/03/2026,ML,240,AA,N,,06/03/2026,,,07/29/2026
00054,0962,13,HIKMA PHARMACEUTICALS USA INC.,Active,ELTROMBOPAG 12.5 MG Tabs,01,0220033,N,1,N,04/08/2026,06/01/2026,TAB,30,AB,N,,06/01/2026,,,07/29/2026
00054,0963,13,HIKMA PHARMACEUTICALS USA INC.,Active,ELTROMBOPAG 25 MG Tabs,01,0220033,N,1,N,04/08/2026,06/01/2026,TAB,30,AB,N,,06/01/2026,,,07/29/2026
00054,0964,13,HIKMA PHARMACEUTICALS USA INC.,Active,ELTROMBOPAG 50 MG Tabs,01,0220033,N,1,N,04/08/2026,06/01/2026,TAB,30,AB,N,,06/01/2026,,,07/29/2026
00054,0965,13,HIKMA PHARMACEUTICALS USA INC.,Active,ELTROMBOPAG 75 MG Tabs,01,0220033,N,1,N,04/08/2026,06/01/2026,TAB,30,AB,N,,06/01/2026,,,07/29/2026
00069,0775,01,PFIZER LABORATORIES DIV PFIZER INC,Active,HYMPAVZI 150MG/ML LSS 1X0.5ML PFP US,02,0761369,S,1,N,10/11/2024,07/13/2026,ML,0.5,NR,Y,,07/13/2026,,,07/28/2026
00113,0241,27,L. PERRIGO COMPANY,Active,LEVOCETIRIZINE DIHCL 5MG TAB 80'S,01,0211983,N,2,N,03/28/2019,02/05/2020,TAB,1,NR,N,09/11/2020,09/11/2020,,,07/29/2026
00113,0374,82,L. PERRIGO COMPANY,Active,MIGRAINE CPLT 200'S,01,0075794,N,2,N,01/01/2002,01/01/2002,TAB,1,NR,N,,01/01/2002,,,07/29/2026
00113,0443,02,L. PERRIGO COMPANY,Active,TRIAMCINOLONE ACTND 60 SPRAY 10.8 ML,01,0078104,N,2,N,07/30/2009,08/17/2016,ML,16.9,NR,Y,02/09/2017,02/09/2017,,,07/29/2026
